馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
アドマイヤアルパマ,2,4.6,1,1,2,434,-4,1,5,55.0,1,2,0,1800,1:48.1,0,11,4,4,55,6,7,8,4,35.7,438,+6,0.1,2,4,0,2000,2:02.7,1,9,7,5,55,6,6,5,6,37.3,432,+4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2000,2:00.8,0,15,8,6,55,8,7,7,7,36.7,428,0,0.7,7,9,0,2000,2:02.7,0,18,12,10,55,7,8,6,3,35.5,428,0,0.6
フィブロライト,7,42.3,2,2,1,422,+4,1,3,52.0,1,9,0,1500,1:30.0,0,14,1,7,52,10,10,10,0,35.0,418,+6,0.8,9,7,0,2000,2:02.0,0,9,8,7,54,3,2,2,2,36.3,412,-6,1.4,8,9,0,1600,1:36.5,0,10,3,7,54,6,6,0,0,34.9,418,+2,1.0,8,1,0,1400,1:23.4,0,18,16,3,54,11,10,0,0,35.4,416,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイネルザウバア,4,8.2,3,3,5,452,+8,0,5,57.0,3,9,0,1800,1:48.9,0,13,11,4,57,1,1,1,1,35.4,444,-4,0.5,3,3,0,1800,1:48.5,0,13,2,3,57,2,1,1,1,36.3,448,-4,0.2,5,7,0,1800,1:46.5,0,10,1,2,57,1,1,1,0,34.5,452,-4,0.6,10,2,0,1800,1:47.4,0,8,7,3,57,1,1,1,1,35.5,456,-4,0.0,10,3,0,1800,1:48.6,1,16,1,3,56,8,8,7,6,35.7,460,-4,0.4
シルヴァーメテオ,10,130.1,4,4,2,476,-2,0,5,57.0,1,11,1,1700,1:48.4,0,14,6,11,57,13,12,12,11,39.6,478,-4,2.9,2,10,1,1700,1:48.3,0,14,10,14,57,10,11,12,8,39.0,482,-4,1.9,2,10,1,1700,1:48.0,0,14,9,11,57,9,9,9,8,40.4,486,-14,2.8,2,12,0,1800,1:52.0,1,12,8,11,57,8,7,7,9,38.8,500,+24,2.6,1,6,0,1800,1:50.5,0,13,12,10,57,5,5,6,8,36.6,476,0,0.6
アスカリアン,9,265.3,5,5,1,506,+2,1,4,55.0,1,12,0,1500,1:30.8,0,14,8,12,55,12,13,13,0,35.3,504,+32,1.6,9,16,1,1400,1:27.8,1,16,13,13,55,15,14,0,0,38.7,472,-12,2.9,7,9,1,1800,1:58.1,0,10,5,8,54,6,5,4,4,40.0,484,+4,3.0,8,15,1,1800,1:56.7,0,16,5,15,54,12,11,12,13,41.4,480,0,3.7,9,9,1,1800,1:57.2,0,10,3,5,54,8,8,3,6,39.8,480,-14,2.4
アイワナビリーヴ,5,17.3,6,6,2,470,-4,1,3,52.0,1,11,0,1800,1:50.5,0,11,9,3,52,3,3,3,5,38.6,474,+14,2.5,5,8,0,1800,1:48.0,0,8,7,2,54,4,4,4,0,35.7,460,-2,1.8,6,13,0,1600,1:35.9,0,16,1,1,54,9,9,9,0,35.9,462,0,1.5,5,1,0,1800,1:48.9,0,16,2,1,54,3,3,3,0,34.0,462,0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ザプリオレス,6,291.1,7,7,0,504,-2,0,3,54.0,1,10,1,2400,2:39.2,1,11,10,11,56,8,7,9,9,39.2,506,-2,1.6,1,12,1,1700,1:48.7,0,14,10,8,56,4,4,4,5,40.8,508,+10,2.1,9,6,1,1800,1:56.5,0,15,6,3,56,7,6,6,7,40.7,498,-6,1.6,8,2,1,1800,1:55.7,1,12,9,6,56,4,4,3,2,39.8,504,-4,1.1,8,8,1,1900,2:03.0,0,16,7,4,56,8,8,7,4,39.3,508,+4,0.7
マイネルウィルトス,3,3.0,7,8,3,470,-6,0,3,54.0,1,2,0,1800,1:48.4,0,7,5,2,54,5,5,4,3,35.1,476,+14,0.0,7,5,0,1600,1:35.5,0,11,6,1,56,8,7,8,0,33.9,462,-4,0.7,8,2,0,1600,1:36.3,0,8,1,1,56,3,4,0,0,34.7,466,-2,0.0,8,2,0,1600,1:35.4,0,15,3,2,56,12,12,0,0,35.0,468,+6,0.0,9,2,0,1600,1:36.0,1,12,7,5,55,8,6,0,0,34.9,462,0,0.2
ウォーターミリオン,8,178.1,8,9,1,448,-2,0,6,57.0,1,8,0,1800,1:49.5,0,14,2,13,57,12,9,7,6,35.9,450,+8,0.9,9,16,0,1600,1:36.9,0,17,2,16,57,16,16,0,0,35.6,442,+2,1.6,4,8,0,2000,2:01.7,0,9,7,6,57,8,8,0,0,34.3,440,-2,1.1,4,6,0,2000,2:02.5,2,8,8,5,57,4,4,0,0,36.2,442,-4,1.1,9,6,0,2200,2:15.0,1,12,8,9,57,3,3,3,3,36.7,446,-6,1.1
レッドアステル,1,2.0,8,10,19,440,+32,1,3,52.0,9,14,0,1600,1:34.7,0,18,17,15,55,16,15,0,0,34.0,408,-16,2.0,6,2,0,1600,1:34.5,0,16,13,3,54,7,6,5,0,34.7,424,-4,0.1,6,1,0,1600,1:36.8,0,16,4,1,54,3,3,3,0,35.2,428,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
