馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ランドハイパワー,10,176.5,1,1,3,502,0,0,6,57.0,8,9,1,1400,0,1,13,11,6,57,11,10,0,0,36.1,502,+2,1.1,8,12,1,1400,0,0,16,6,6,57,14,15,0,0,36.5,500,+14,1.5,5,12,1,1600,0,2,15,14,6,57,11,11,0,0,37.0,486,-4,2.4,8,6,1,1400,0,0,15,9,6,57,13,12,0,0,37.1,490,0,0.6,3,10,1,1700,0,0,15,2,6,57,7,7,11,13,39.5,490,0,1.8
デルマカルヴァドス,8,52.3,1,2,3,506,+6,0,4,56.0,6,7,1,1800,0,0,14,8,4,53,11,11,12,12,38.5,500,+12,0.8,8,8,1,1800,0,0,13,9,4,54,11,11,9,10,37.6,488,+4,1.5,6,10,1,1800,0,1,16,3,4,54,7,7,8,8,38.5,484,-4,1.8,8,1,1,1800,0,0,16,4,4,56,6,6,6,4,38.0,488,+8,-0.1,5,7,1,1600,0,0,14,1,4,56,8,10,0,0,37.6,480,-2,1.6
スズカフロンティア,6,3.0,2,3,2,424,-10,0,5,57.0,8,4,1,1800,0,0,13,9,5,57,7,6,6,7,38.6,434,+12,0.7,9,2,1,1800,0,1,15,15,5,57,6,5,4,4,38.3,422,-4,0.4,10,3,1,1700,0,2,16,7,5,57,12,12,12,10,37.0,426,0,0.4,10,1,1,1700,0,0,16,10,5,57,4,3,2,2,38.4,426,+4,-0.1,7,8,0,1400,0,0,17,14,5,57,10,10,0,0,34.7,422,-4,0.8
ドルチェリア,2,11.8,2,4,1,524,-8,2,6,57.0,8,3,1,1800,0,1,12,8,6,57,4,5,6,5,37.2,532,-6,0.2,8,15,1,1800,0,0,16,11,6,57,3,3,3,2,41.1,538,+8,2.8,10,9,1,1700,0,0,10,9,6,57,3,3,3,3,38.8,530,+14,1.0,9,8,1,1400,0,0,16,13,6,57,8,8,0,0,38.3,516,-4,1.0,10,1,1,1700,0,0,16,7,6,57,3,3,2,2,37.5,520,+16,-0.1
テイエムチェロキー,9,5.6,3,5,2,490,-6,0,5,57.0,8,5,1,1800,0,0,13,1,5,57,1,1,1,1,39.3,496,0,0.8,8,2,1,1800,0,0,16,2,5,57,1,1,1,1,38.5,496,+10,0.0,8,12,0,1600,0,0,14,3,5,57,3,3,0,0,35.8,486,+6,1.8,8,7,1,1800,0,0,14,10,5,57,2,2,2,2,37.7,480,-4,0.5,8,3,1,1800,0,0,13,10,5,57,2,2,2,2,38.3,484,+8,1.8
シンゼンドリーム,1,13.6,3,6,13,472,+6,0,6,57.0,3,4,1,1700,0,0,15,10,6,57,11,12,6,2,38.5,466,+2,0.3,5,13,1,1600,0,1,16,11,6,57,13,13,0,0,37.3,464,-34,2.1,9,8,1,1800,0,0,15,9,6,57,11,11,9,11,37.5,498,+24,0.6,5,2,1,1600,0,1,16,4,6,57,10,11,0,0,35.8,474,-4,0.0,8,4,1,1800,0,3,15,5,6,57,6,6,5,3,37.8,478,+4,0.5
フィルムフランセ,14,36.1,4,7,13,486,-6,1,5,55.0,3,7,1,1700,0,0,15,4,5,55,6,6,7,7,39.0,492,+2,0.9,4,1,1,1800,0,1,13,3,5,55,5,4,5,4,37.9,490,0,-0.4,9,8,1,1400,0,3,16,2,5,55,7,9,0,0,36.9,490,+2,0.7,10,11,1,1700,0,0,15,11,5,52,3,3,3,3,39.0,488,+4,1.4,10,10,1,1700,0,1,14,13,5,54,5,5,6,8,39.0,484,0,2.1
マイネルオスカル,3,9.0,4,8,20,492,+6,0,4,56.0,9,7,1,1400,0,1,16,5,4,55,7,7,0,0,37.7,486,+8,0.8,10,5,1,1700,0,0,16,1,4,52,7,7,6,6,38.3,478,0,0.5,7,10,1,1800,0,2,15,6,4,54,1,1,1,1,39.2,478,+2,1.8,9,8,1,1800,0,1,14,11,4,54,6,6,4,5,39.4,476,0,2.8,5,8,1,1600,0,1,12,3,4,56,1,1,0,0,37.9,476,+2,1.5
コスモバーダン,12,255.3,5,9,5,520,+2,0,7,57.0,6,11,1,1800,0,0,16,14,7,57,10,10,8,7,39.3,518,0,1.9,3,12,1,1700,0,0,15,11,7,57,4,3,2,2,41.8,518,-4,3.1,3,7,1,1700,0,2,15,7,7,57,6,5,4,5,38.1,522,+6,1.8,8,8,1,1800,0,0,16,13,7,57,6,7,8,6,36.8,516,+2,1.5,8,3,1,1900,0,0,11,7,7,57,6,7,7,6,37.0,514,-4,0.1
テーオーフォース,5,7.5,5,10,8,484,+10,0,4,56.0,9,8,1,1800,0,0,14,9,4,56,14,14,14,14,36.4,474,+2,0.9,3,1,1,1700,0,0,15,1,4,55,7,4,4,3,38.3,472,+6,-0.7,8,4,1,1800,0,0,16,13,4,56,7,7,5,4,38.5,466,0,0.3,4,5,1,1800,0,1,10,3,4,56,5,5,4,5,40.2,466,0,1.1,8,10,1,1800,0,0,16,15,4,56,9,9,7,9,39.7,466,-8,1.6
