馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
クロムウェル,5,98.3,6.4,28.5,1,0,1600,1,0,0,0,1,1,0,434,-4,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,7,1,0,1600,96.9,1,0,0,0,11,5,3,56,10,11,0,0,33.8,438,-2,1.3,0,0,0,0,1,0,0,0,0,0,9,1,0,1400,84.1,1,0,0,0,14,7,3,56,5,5,0,0,34.4,440,+8,0.9,0,0,0,0,1,0,0,0,0,0,9,1,0,1400,83.7,1,0,0,0,10,5,3,56,7,6,0,0,35.0,432,+20,1.5,0,0,0,0,0,0,0,0,1,0,8,1,0,1400,82.6,1,0,0,0,8,5,3,55,8,8,0,0,34.7,412,-8,1.4,0,0,0,0,1,0,0,0,0,0,8,1,0,1400,83.7,1,0,0,0,12,1,3,55,8,8,0,0,35.0,420,-2,1.3
レノーア,1,17.1,1.8,6.6,1,0,1600,1,0,0,0,2,2,2,402,-2,0,1,0,3,54.0,0,0,0,0,1,0,0,0,0,0,5,1,0,1400,82.4,1,0,0,0,15,13,3,54,13,12,0,0,33.3,404,+2,0.5,0,0,0,0,0,0,0,1,0,0,11,1,0,1400,83.9,1,0,0,0,12,8,3,54,3,2,0,0,36.5,402,0,1.1,0,0,0,0,0,0,1,0,0,0,4,1,0,1400,82.9,1,0,0,0,12,6,3,54,8,10,0,0,35.0,402,-6,0.5,0,0,0,0,1,0,0,0,0,0,3,1,0,1400,82.6,1,0,0,0,12,2,3,54,4,4,0,0,34.1,408,0,0.2,0,0,0,0,0,1,0,0,0,0,5,1,0,1600,96.5,0,1,0,0,10,8,3,54,5,3,3,0,34.6,408,+8,0.8
カルリーノ,3,3.0,1.1,2.3,1,0,1600,1,0,0,0,3,3,3,500,+2,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,5,1,0,1400,82.5,1,0,0,0,10,1,3,56,10,10,0,0,33.5,498,-4,0.3,0,0,0,0,0,1,0,0,0,0,2,1,0,1600,93.8,1,0,0,0,10,2,3,56,8,10,8,0,34.8,502,+6,0.0,0,0,0,0,0,1,0,0,0,0,8,1,0,1600,95.0,1,0,0,0,15,3,3,55,5,5,3,0,37.0,496,0,1.3,0,0,0,0,1,0,0,0,0,0,3,1,0,1400,85.0,1,0,0,0,8,6,3,55,3,3,0,0,33.5,496,+6,0.3,0,1,0,0,0,0,0,0,0,0,3,1,0,1200,69.5,1,0,0,0,16,5,3,54,6,4,0,0,35.2,490,+6,0.1
キタイ,4,12.1,1.6,5.9,1,0,1600,1,0,0,0,4,4,16,490,+8,0,1,0,3,54.0,0,0,0,0,1,0,0,0,0,0,12,1,0,1600,95.0,1,0,0,0,15,7,3,54,2,2,0,0,36.2,482,0,1.3,0,0,0,0,0,1,0,0,0,0,3,1,0,1200,69.9,0,1,0,0,9,7,3,54,8,7,0,0,34.9,482,-18,0.4,1,0,0,0,0,0,0,0,0,0,1,1,0,1200,69.8,1,0,0,0,8,2,3,54,2,2,0,0,34.4,500,-2,-0.1,0,1,0,0,0,0,0,0,0,0,2,1,0,1200,71.1,0,1,0,0,8,3,3,54,1,1,0,0,36.9,502,+14,0.0,0,1,0,0,0,0,0,0,0,0,2,1,0,1200,70.6,1,0,0,0,10,4,3,54,1,1,0,0,35.7,488,0,0.3
アイアムハヤスギル,9,15.2,1.8,6.6,1,0,1600,1,0,0,0,5,5,2,474,0,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1300,80.1,0,1,0,0,16,14,3,56,2,1,0,0,36.6,474,0,-0.2,0,0,0,0,0,1,0,0,0,0,2,0,1,1200,73.5,1,0,0,0,16,13,3,56,1,1,0,0,39.6,474,0,0.1,0,0,0,0,0,1,0,0,0,0,2,0,1,1200,72.4,0,1,0,0,16,15,3,55,2,2,0,0,38.2,474,-2,0.2,0,0,0,0,1,0,0,0,0,0,3,0,1,1400,87.8,1,0,0,0,15,9,3,55,2,2,0,0,38.9,476,+2,0.5,0,0,1,0,0,0,0,0,0,0,5,0,1,1150,70.6,1,0,0,0,16,13,3,55,3,3,0,0,38.3,474,0,1.2
セクシイフラワー,7,453.7,28.6,132.7,1,0,1600,1,0,0,0,6,6,1,438,-6,0,1,0,3,54.0,0,0,0,0,1,0,0,0,0,0,12,0,1,1400,90.4,1,0,0,0,16,8,3,52,10,11,0,0,39.2,444,-4,2.1,0,0,0,0,0,1,0,0,0,0,11,0,1,1200,74.2,0,1,0,0,15,8,3,54,13,13,0,0,39.5,448,-8,2.5,0,0,0,0,1,0,0,0,0,0,9,1,0,1600,97.1,1,0,0,0,18,7,3,54,10,10,0,0,35.1,456,0,1.6,0,0,0,0,1,0,0,0,0,0,12,1,0,1400,84.8,0,1,0,0,17,3,3,54,7,7,0,0,35.1,456,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
プラピルーン,11,544.0,41.7,194.4,1,0,1600,1,0,0,0,6,7,0,440,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,11,0,1,1800,118.8,1,0,0,0,13,4,3,56,8,10,10,10,40.6,446,0,2.9,0,0,0,0,1,0,0,0,0,0,10,0,1,1400,90.2,1,0,0,0,16,14,3,56,16,16,0,0,37.5,446,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラバストーン,10,263.0,15.7,72.3,1,0,1600,1,0,0,0,7,8,0,454,+6,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,10,1,0,1600,97.5,1,0,0,0,11,10,3,53,2,2,0,0,35.2,448,-6,1.9,0,0,0,0,0,1,0,0,0,0,13,0,1,1800,118.6,1,0,0,0,13,3,3,52,11,11,13,13,41.7,454,0,4.0,0,0,0,0,0,1,0,0,0,0,16,0,1,1200,74.7,1,0,0,0,16,4,3,55,12,16,0,0,40.1,454,0,3.1,0,0,0,0,1,0,0,0,0,0,11,1,0,1400,84.1,1,0,0,0,12,8,3,52,10,11,0,0,35.1,454,+6,1.7,0,0,0,0,1,0,0,0,0,0,8,1,0,1400,86.3,1,0,0,0,8,8,3,55,8,7,0,0,34.3,448,-6,1.6
ミトロジー,2,1.7,1.1,1.1,1,0,1600,1,0,0,0,7,9,9,478,+6,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,2,1,0,1600,94.3,1,0,0,0,15,12,3,55,13,12,10,0,35.7,472,+10,0.6,0,0,0,0,1,0,0,0,0,0,3,1,0,1400,83.8,1,0,0,0,8,2,3,55,5,5,0,0,33.9,462,-2,0.1,0,0,0,0,0,1,0,0,0,0,1,1,0,1600,96.2,1,0,0,0,16,16,3,54,14,11,10,0,33.7,464,0,-0.2,0,0,0,1,0,0,0,0,0,0,4,1,0,1400,83.5,1,0,0,0,13,12,3,54,3,2,0,0,37.2,464,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エムアイグランツ,6,237.3,17.0,78.2,1,0,1600,1,0,0,0,8,10,2,502,-6,1,0,0,3,56.0,0,0,0,0,0,0,1,0,0,0,13,0,1,1400,89.4,0,1,0,0,16,13,3,55,11,11,0,0,40.2,508,+2,3.8,0,0,0,0,0,1,0,0,0,0,16,0,1,1200,75.9,1,0,0,0,16,4,3,56,15,15,0,0,39.9,506,-4,2.3,0,0,0,0,0,1,0,0,0,0,10,0,1,1800,118.9,1,0,0,0,16,14,3,55,6,6,5,5,39.9,510,0,2.4,0,0,0,0,1,0,0,0,0,0,7,0,1,1600,100.6,1,0,0,0,9,6,3,55,8,7,0,0,38.8,510,+2,1.7,0,0,0,0,1,0,0,0,0,0,8,0,1,1400,89.7,1,0,0,0,14,10,3,55,8,9,0,0,39.4,508,+6,3.0
