馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
タイサイ,2,8.8,1.6,2.8,0,1,1700,0,1,0,0,1,1,2,466,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,2,0,1,1700,108.3,0,1,0,0,11,11,3,56,2,2,2,1,39.3,466,+24,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,1200,75.6,1,0,0,0,16,9,3,54,16,15,0,0,38.8,442,-6,3.0,0,0,0,0,0,0,0,0,1,0,8,0,1,1200,74.8,1,0,0,0,15,6,3,54,14,12,0,0,37.4,448,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ウインヴァモス,9,259.5,49.7,105.6,0,1,1700,0,1,0,0,1,2,4,452,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,15,0,1,1200,78.7,1,0,0,0,16,10,3,56,16,16,0,0,37.7,458,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アーチンガイ,11,20.3,4.1,8.3,0,1,1700,0,1,0,0,2,3,4,480,-10,1,0,0,3,53.0,0,0,0,0,1,0,0,0,0,0,12,0,1,1300,84.3,1,0,0,0,16,2,3,54,8,11,0,0,40.0,490,+20,2.6,0,0,0,0,1,0,0,0,0,0,14,0,1,1600,104.3,1,0,0,0,16,3,3,53,10,16,0,0,39.8,470,-4,3.2,0,0,0,1,0,0,0,0,0,0,10,1,0,1800,111.1,1,0,0,0,13,12,3,53,3,3,0,0,36.8,474,+2,2.2,0,0,0,1,0,0,0,0,0,0,13,1,0,1600,100.3,1,0,0,0,14,10,3,54,13,13,0,0,35.1,472,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ノンノンナイン,15,427.0,73.4,156.1,0,1,1700,0,1,0,0,2,4,2,404,0,0,1,0,3,51.0,0,0,0,0,0,0,0,0,0,1,12,0,1,1000,63.2,0,1,0,0,13,6,3,51,13,12,0,0,37.9,404,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,1600,98.5,1,0,0,0,18,12,3,54,18,17,0,0,36.0,404,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
トモジャマサムネ,8,22.7,3.4,6.7,0,1,1700,0,1,0,0,3,5,2,512,-4,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,6,0,1,1700,109.4,0,1,0,0,11,5,3,56,4,5,5,5,40.0,516,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ゼロカラ,6,59.7,7.3,15.0,0,1,1700,0,1,0,0,3,6,1,454,+2,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,5,0,1,1700,110.8,0,1,0,0,16,4,3,54,15,15,15,15,39.8,452,-2,1.1,0,0,0,0,0,0,1,0,0,0,7,0,1,1400,88.4,1,0,0,0,16,11,3,54,7,7,0,0,40.0,454,-6,2.3,0,0,0,0,0,1,0,0,0,0,8,0,1,1200,74.9,1,0,0,0,16,13,3,54,13,12,0,0,39.0,460,+2,1.3,0,0,0,0,0,1,0,0,0,0,10,0,1,1200,75.3,1,0,0,0,16,4,3,54,12,12,0,0,38.3,458,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイディスティニー,7,175.7,22.3,47.3,0,1,1700,0,1,0,0,4,7,1,498,+2,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,8,0,1,1700,110.9,0,1,0,0,16,10,3,54,10,9,9,8,40.6,496,-2,1.2,0,0,0,0,0,1,0,0,0,0,9,0,1,1800,119.3,1,0,0,0,16,1,3,53,11,11,10,10,41.0,498,+6,3.8,0,0,0,0,0,0,0,1,0,0,13,1,0,1600,98.3,1,0,0,0,13,1,3,51,9,10,0,0,36.3,492,-4,2.0,0,0,1,0,0,0,0,0,0,0,15,1,0,1800,110.6,1,0,0,0,16,16,3,54,13,11,4,5,37.3,496,-6,1.9,0,0,0,0,0,1,0,0,0,0,6,1,0,1800,110.7,0,1,0,0,12,10,3,54,10,9,10,8,35.8,502,-10,1.0
エメラルドカット,4,275.4,28.1,59.6,0,1,1700,0,1,0,0,4,8,11,480,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,1,0,10,0,1,1200,76.1,1,0,0,0,14,12,3,54,14,13,0,0,38.0,480,-10,2.0,0,0,0,0,1,0,0,0,0,0,17,1,0,1400,87.4,1,0,0,0,17,9,3,54,16,15,0,0,35.9,490,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オイシイナア,10,14.4,2.6,5.1,0,1,1700,0,1,0,0,5,9,1,456,+2,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,2,0,1,1700,109.7,0,1,0,0,16,3,3,54,1,1,1,1,40.3,454,0,0.0,0,0,0,0,0,0,0,0,0,1,10,1,0,1200,71.0,0,1,0,0,18,4,3,54,3,3,0,0,36.6,454,0,1.3,0,0,0,1,0,0,0,0,0,0,8,0,1,1200,74.4,0,1,0,0,15,14,3,54,6,7,0,0,39.5,454,0,1.9,0,0,0,1,0,0,0,0,0,0,8,1,0,1400,84.2,1,0,0,0,18,9,3,54,2,2,0,0,37.3,454,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
トウケイココノエ,14,46.3,9.2,19.1,0,1,1700,0,1,0,0,5,10,6,520,+2,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,13,1,0,1600,98.7,1,0,0,0,15,8,3,54,1,1,0,0,38.6,518,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
