馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ナディア,7,17.7,3.0,4.3,0,1,1200,1,0,0,0,1,1,1,422,+2,0,1,0,4,55.0,0,0,0,0,0,0,1,0,0,0,4,0,1,1200,72.5,1,0,0,0,16,1,4,55,7,7,0,0,37.2,420,+8,0.6,0,0,1,0,0,0,0,0,0,0,7,1,0,1200,69.5,1,0,0,0,16,13,4,52,15,15,0,0,34.1,412,-8,0.3,0,0,0,1,0,0,0,0,0,0,10,0,1,1200,72.1,0,0,0,1,15,6,4,55,14,14,0,0,36.3,420,-4,1.6,0,0,0,0,0,0,0,1,0,0,8,0,1,1200,72.4,0,0,1,0,13,6,4,52,10,10,0,0,36.9,424,+6,1.5,0,0,0,0,0,0,0,0,1,0,10,1,0,1200,68.9,1,0,0,0,16,11,4,55,14,13,0,0,33.6,418,+4,0.6
ロイヤルパールス,3,4.6,1.8,2.4,0,1,1200,1,0,0,0,1,2,0,536,+2,1,0,0,4,57.0,0,0,0,0,0,0,1,0,0,0,2,0,1,1400,85.3,1,0,0,0,15,9,4,57,3,3,0,0,38.4,534,+10,0.0,0,0,0,0,0,0,1,0,0,0,4,0,1,1400,85.2,1,0,0,0,14,11,4,57,3,3,0,0,37.6,524,+20,0.4,0,0,1,0,0,0,0,0,0,0,8,0,1,1700,107.6,1,0,0,0,12,8,4,57,3,3,5,4,39.3,504,+6,1.1,0,0,0,0,1,0,0,0,0,0,6,0,1,1600,99.0,0,1,0,0,10,2,4,57,7,7,0,0,38.1,498,-10,1.3,0,0,0,0,0,0,0,0,1,0,8,0,1,1800,113.9,0,1,0,0,10,9,4,54,3,3,4,4,38.9,508,+8,2.7
アリエスムーン,6,94.6,20.4,30.0,0,1,1200,1,0,0,0,2,3,6,460,+10,0,1,0,8,55.0,0,0,0,1,0,0,0,0,0,0,11,1,0,1000,57.5,0,0,1,0,17,11,8,55,0,0,0,0,34.5,450,+2,1.0,0,0,0,1,0,0,0,0,0,0,2,1,0,1000,55.9,1,0,0,0,18,12,8,55,0,0,0,0,33.4,448,+2,0.1,0,0,0,0,0,0,0,0,0,1,7,1,0,1200,68.8,1,0,0,0,18,3,8,52,3,3,0,0,35.6,446,+2,0.4,0,0,0,0,0,0,0,0,0,1,5,1,0,1200,69.2,1,0,0,0,15,5,8,52,4,3,0,0,35.6,444,-8,0.6,0,0,0,0,0,0,1,0,0,0,5,1,0,1200,69.5,0,1,0,0,15,4,8,53,2,2,0,0,34.7,452,+10,0.4
サンマルスイート,8,124.1,39.3,57.9,0,1,1200,1,0,0,0,2,4,18,476,+20,0,1,0,5,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,1,0,1400,83.6,1,0,0,0,18,7,5,55,5,4,0,0,37.7,456,-6,3.0,0,0,1,0,0,0,0,0,0,0,11,1,0,1200,69.8,1,0,0,0,16,9,5,54,4,4,0,0,35.8,462,-4,0.9,0,0,1,0,0,0,0,0,0,0,5,1,0,1200,70.3,1,0,0,0,16,9,5,55,2,2,0,0,36.2,466,+2,0.5,0,0,0,1,0,0,0,0,0,0,13,1,0,1400,83.5,0,1,0,0,18,9,5,54,1,1,0,0,37.6,464,+2,1.1
レイトブルーミング,4,19.4,3.8,5.4,0,1,1200,1,0,0,0,3,5,1,442,-4,0,1,0,3,51.0,0,0,0,0,0,0,1,0,0,0,4,0,1,1200,73.2,1,0,0,0,16,6,3,51,10,12,0,0,36.3,446,-2,0.5,0,0,0,0,0,0,0,0,1,0,9,0,1,1400,86.4,1,0,0,0,12,1,3,53,8,9,0,0,37.4,448,+8,1.0,0,0,0,0,0,0,0,0,1,0,8,0,1,1400,86.1,1,0,0,0,12,9,3,53,7,6,0,0,37.6,440,-4,1.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1400,85.6,1,0,0,0,16,14,3,54,8,7,0,0,37.4,444,+6,-0.4,0,0,0,0,0,0,0,0,1,0,3,0,1,1400,86.9,1,0,0,0,16,10,3,54,7,6,0,0,38.2,438,+4,0.7
カーンテソーロ,1,4.9,1.7,2.2,0,1,1200,1,0,0,0,3,6,7,482,+2,1,0,0,3,54.0,0,0,0,1,0,0,0,0,0,0,3,0,1,1200,71.1,0,0,1,0,13,11,3,53,4,4,0,0,36.2,480,+2,0.9,0,0,0,1,0,0,0,0,0,0,6,0,1,1200,72.4,1,0,0,0,14,15,3,53,7,7,0,0,36.8,478,+4,0.6,0,0,0,0,0,0,0,0,1,0,11,0,1,1400,87.5,1,0,0,0,16,3,3,56,11,11,0,0,37.5,474,-8,2.2,0,0,0,0,0,1,0,0,0,0,1,0,1,1200,72.1,0,1,0,0,16,16,3,56,8,4,0,0,37.9,482,-4,-0.2,0,0,0,0,1,0,0,0,0,0,4,0,1,1400,87.2,0,1,0,0,16,7,3,56,5,6,0,0,37.2,486,-4,1.3
セイウンコービー,14,25.4,6.9,10.0,0,1,1200,1,0,0,0,4,7,16,544,+26,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,1000,58.8,0,1,0,0,12,7,3,54,3,2,0,0,35.5,518,0,0.6,1,0,0,0,0,0,0,0,0,0,3,0,1,1000,58.7,1,0,0,0,12,4,3,54,7,6,0,0,34.8,518,-6,0.1,0,1,0,0,0,0,0,0,0,0,5,0,1,1000,59.2,0,1,0,0,12,6,3,54,4,3,0,0,36.0,524,0,0.1,0,1,0,0,0,0,0,0,0,0,4,0,1,1000,59.1,0,1,0,0,12,1,3,54,4,4,0,0,35.7,524,+2,0.6
シェヴェルニー,13,164.3,34.1,50.3,0,1,1200,1,0,0,0,4,8,5,436,0,0,1,0,6,55.0,0,0,1,0,0,0,0,0,0,0,7,0,1,1150,69.9,1,0,0,0,14,2,6,55,5,6,0,0,37.1,436,-8,1.2,0,0,0,1,0,0,0,0,0,0,15,1,0,1200,71.8,0,1,0,0,18,7,6,54,15,13,0,0,35.7,444,+8,1.4,0,0,0,0,0,1,0,0,0,0,12,1,0,1200,67.9,1,0,0,0,16,5,6,55,14,14,0,0,33.3,436,-2,0.7,0,0,0,1,0,0,0,0,0,0,5,1,0,1200,70.0,1,0,0,0,13,7,6,55,9,9,0,0,34.6,438,+2,0.4,0,0,0,0,0,0,1,0,0,0,7,1,0,1200,69.6,0,1,0,0,12,8,6,55,8,7,0,0,34.3,436,-2,0.8
メイショウハート,5,7.5,1.8,2.5,0,1,1200,1,0,0,0,5,9,13,482,+6,1,0,0,3,53.0,0,0,0,0,0,0,0,0,1,0,10,0,1,1400,86.1,1,0,0,0,14,3,3,52,1,1,0,0,38.7,476,-4,2.2,0,0,0,0,0,0,0,1,0,0,1,0,1,1400,85.5,1,0,0,0,16,13,3,56,1,1,0,0,38.2,480,+2,-0.1,0,0,0,0,0,0,0,1,0,0,3,0,1,1400,85.7,1,0,0,0,15,14,3,56,3,2,0,0,37.8,478,+8,0.3,0,0,0,0,0,0,0,0,1,0,4,0,1,1400,87.8,1,0,0,0,16,5,3,55,6,6,0,0,39.5,470,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ウェーブガイア,10,13.7,3.2,4.6,0,1,1200,1,0,0,0,5,10,14,450,+2,0,1,0,4,54.0,0,0,0,0,0,0,0,0,0,1,9,0,1,1000,59.4,0,0,1,0,14,2,4,55,14,14,0,0,34.8,448,-4,0.9,0,0,0,0,0,0,0,0,0,1,5,0,1,1000,59.2,0,1,0,0,14,9,4,55,2,3,0,0,36.5,452,0,0.8,0,0,0,0,0,0,0,0,0,1,3,0,1,1000,58.5,1,0,0,0,12,10,4,55,3,3,0,0,35.5,452,+12,0.3,0,0,0,0,0,0,0,0,1,0,13,0,1,1400,87.2,1,0,0,0,15,8,4,55,8,11,0,0,39.3,440,-6,1.9,0,0,0,0,0,0,0,0,0,1,10,0,1,1000,59.4,0,0,0,1,14,5,4,55,2,3,0,0,37.0,446,-4,1.0
