馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ミッキーローズ,11,11.5,2.5,3.9,1,0,1600,0,0,0,1,1,1,7,412,+4,0,1,0,2,54.0,0,0,0,0,0,0,0,0,0,1,3,1,0,1800,112.4,1,0,0,0,16,4,2,54,10,10,8,7,35.7,408,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メイショウミモザ,6,6.3,1.5,2.2,1,0,1600,0,0,0,1,2,2,2,438,+2,0,1,0,2,54.0,0,0,0,0,0,0,0,0,1,0,6,1,0,1600,95.0,1,0,0,0,14,10,2,54,8,8,0,0,35.0,436,+6,0.7,1,0,0,0,0,0,0,0,0,0,3,1,0,1500,91.3,0,1,0,0,14,12,2,54,4,3,3,0,35.8,430,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボンオムトゥック,3,3.5,1.3,1.7,1,0,1600,0,0,0,1,3,3,3,460,-4,0,1,0,2,54.0,0,0,0,0,0,0,0,0,1,0,2,1,0,1600,95.2,1,0,0,0,9,3,2,54,4,2,0,0,35.8,464,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
リュッカ,8,13.3,2.7,4.3,1,0,1600,0,0,0,1,4,4,14,396,-4,0,1,0,2,54.0,0,1,0,0,0,0,0,0,0,0,4,1,0,1200,70.4,1,0,0,0,9,3,2,53,7,6,0,0,34.3,400,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハローグッバイ,10,14.7,2.9,4.6,1,0,1600,0,0,0,1,5,5,2,452,0,0,1,0,2,54.0,0,0,0,0,0,0,0,0,1,0,5,1,0,1600,97.8,1,0,0,0,15,4,2,54,1,1,0,0,34.7,452,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アヴェイル,5,3.2,1.2,1.6,1,0,1600,0,0,0,1,6,6,1,450,-2,0,1,0,2,54.0,0,0,0,0,0,0,0,0,1,0,2,1,0,1600,95.3,1,0,0,0,18,6,2,54,12,12,0,0,35.1,452,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スマートリアン,1,40.2,6.9,11.5,1,0,1600,0,0,0,1,6,7,1,458,+4,0,1,0,2,54.0,0,0,0,0,0,0,0,0,1,0,8,1,0,1800,109.0,1,0,0,0,18,13,2,54,14,13,0,0,34.8,454,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クリノコハルビヨリ,9,146.3,20.8,34.8,1,0,1600,0,0,0,1,7,8,3,414,-4,0,1,0,2,51.0,0,0,0,0,0,0,0,0,1,0,9,1,0,1600,98.1,1,0,0,0,9,9,2,54,9,9,0,0,38.0,418,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヴァルムチェーナ,7,29.8,4.7,7.8,1,0,1600,0,0,0,1,7,9,2,426,0,0,1,0,2,52.0,0,0,0,0,0,0,0,0,1,0,6,1,0,1400,82.3,1,0,0,0,16,5,2,54,8,10,0,0,35.9,426,-4,0.9,0,0,0,0,0,0,0,0,0,1,5,1,0,1200,70.6,1,0,0,0,12,4,2,54,2,1,0,0,37.2,430,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダンツイノーバ,2,61.3,9.7,16.2,1,0,1600,0,0,0,1,8,10,2,440,-6,0,1,0,2,51.0,0,0,0,0,0,0,0,0,1,0,8,0,1,1800,117.5,1,0,0,0,13,6,2,51,12,12,13,11,39.0,446,-4,2.5,1,0,0,0,0,0,0,0,0,0,9,1,0,1500,95.6,0,1,0,0,13,3,2,54,10,12,13,0,35.7,450,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
